epoch,train_loss,train_wav,train_spect,train_sisdr,val_loss,val_wav,val_spect,val_sisdr,val_stoi,val_pesq,val_sisdr_metric
1,69.04499030198066,0.33703506361441254,69.2944140485173,-5.864590792270423,50.347443686591255,0.25827333141887,50.9131409478566,-8.239702466934446,0.7703262832429674,1.941627797533254,8.32667881543519
2,48.15536375826364,0.247475319008386,48.747827808203645,-8.399392567071201,46.701537904285246,0.2393962208713804,47.32651559133378,-8.643740926470075,0.7756614703980703,1.9439432322978973,8.719218111038208
3,44.03769619354574,0.22709787823922695,44.72741354402698,-9.168153139195832,42.979434482635014,0.22079570851628744,43.69622463650174,-9.375855127970377,0.7746225614396353,1.9882278380722835,9.369471755521051
4,40.749734479761635,0.21119090546174404,41.51623212569973,-9.776885671547724,38.401559133378285,0.19887567902841266,39.17932573954264,-9.766421355898418,0.7689814728403849,1.924962740095835,9.810925067417205
5,38.75421322961719,0.20078133901720369,39.57219726419958,-10.187653643380704,37.14424457247295,0.19272083812762822,37.99351619538807,-10.419925947037955,0.8018937347427247,2.091465361782762,10.567078332431981
6,38.228495465478865,0.19810761824197193,39.05990629094351,-10.295185634674127,37.81516517154754,0.19626959649816392,38.66332865518237,-10.444330321417915,0.7985036183917333,2.039166747513464,10.459154985718808
7,37.23192165754868,0.19328999201173885,38.09063683710065,-10.520051710970462,34.78778079199412,0.18044207552595745,35.70814508105081,-11.008064270019531,0.8013470901383294,2.0851816611905254,11.061007715040638
8,36.3441529460649,0.1889431952130964,37.23778615388157,-10.825763289190272,34.43187033940875,0.17905652274688086,35.37301441979787,-11.202005386352539,0.8044332918666658,2.1596279413469377,11.304817691926033
9,35.210786081293726,0.18321168963595216,36.13765431129211,-11.10079898104549,34.44799291519892,0.17905765417076291,35.38554385351756,-11.166084054916624,0.8037025247301374,2.1798902828185285,11.247785576054307
10,34.16537493912775,0.17811367259065874,35.1184399085537,-11.311786250287527,36.67105029878162,0.19146243683875552,37.58262307303293,-11.03035446954152,0.7940967830400618,2.1232456661039785,11.067480402608071
11,33.36726122988501,0.17421936083359651,34.34744373504802,-11.544018644455065,32.90024931468661,0.17197345291811322,33.89402103424072,-11.657449775271946,0.815306198029291,2.175382846492832,11.895141197463213
12,34.069361466105725,0.1777860888170602,35.03316307067871,-11.415875828563106,33.611757762848384,0.17476009766733835,34.605047982836524,-11.680501105293395,0.809640698016636,2.186329651687105,11.683373709856454
13,32.97491831626756,0.17247391610117993,33.96925219437406,-11.668078282549713,33.15325803605337,0.17298245134334717,34.12890234447661,-11.486266756814624,0.8034049036010863,2.130574105114772,11.516807572595004
14,32.661694253466734,0.17109735599085954,33.66692293411472,-11.763260921973774,33.51477504911877,0.17532003493536086,34.516316368466335,-11.768613966684493,0.8138521474505228,2.2403641919620703,11.892380558076452
15,31.53247850051554,0.16537357938353278,32.56614298837465,-11.990381029577017,33.43067299373566,0.17458425060151114,34.41978914775546,-11.637005306425548,0.8078989992066036,2.2050646815383645,11.706090291341146
16,32.27954381725542,0.16906720283192672,33.30201266923409,-11.915358629939394,31.230478165641664,0.1641320324842892,32.27026694161551,-12.039207473633782,0.814610187023405,2.1808498609261435,12.119315671139075
17,31.731665234548764,0.16651169353850795,32.7673278754292,-12.021743540237807,31.453083613562207,0.16518216012489229,32.49160021827335,-12.036987819368877,0.8139685061242845,2.2234433908931543,12.155844547709481
18,31.865557195453032,0.16699665980380413,32.902496645034844,-12.039361860404235,30.68756930033366,0.161203239172224,31.733490626017254,-12.071243467785063,0.814040083733816,2.190115057054113,12.147297984263936
19,30.951566850587568,0.16248053967873186,32.02409621744393,-12.350098659983733,32.327026730492,0.16973715003520723,33.344943485562766,-11.876541198246063,0.8128702120175437,2.223969686226767,11.939014497350474
20,30.809468439041083,0.16175371164528926,31.86956993286296,-12.218552175365733,29.403038781786723,0.15515447514397757,30.489893913269043,-12.420093733166892,0.8230351729998513,2.247065257641577,12.552435121228617
21,31.05685157538309,0.1630394354634968,32.11760653465244,-12.237943784197878,31.281953508891757,0.1632825114897319,32.35608040340363,-12.374096037849547,0.818432228905814,2.292562116656387,12.448139926843476
22,31.173830157921408,0.16361440937581648,32.23283086892125,-12.226151449400335,29.670312366788348,0.15652104195148225,30.761586386059957,-12.477952245682005,0.821997654816461,2.2837209086264334,12.521798087704566
23,30.59069685240233,0.16073894569007316,31.66567696880191,-12.357191067997672,30.69832780626085,0.16111441051203107,31.774334498814174,-12.37120805467878,0.8276649155314006,2.2716824650764464,12.426321585973104
24,30.684664924798064,0.16129895866420982,31.75568059500426,-12.323146631709196,33.68468614608523,0.17607087464559645,34.68417524913001,-11.75560244302901,0.8137505432916066,2.2317577959999206,11.79134886605399
25,30.477096477861505,0.16027051548463594,31.558268523301095,-12.414425838036045,30.870915382627455,0.1629635507152194,31.96924622853597,-12.612943573603554,0.8224538734980992,2.27970294221755,12.629575575551678
26,30.587652722287434,0.16085613857013475,31.667195119891726,-12.403985442640094,29.73148959023612,0.15669978752968802,30.83993347107418,-12.651437698848664,0.8260431128834921,2.3107852240403495,12.655286995569865
27,29.91309207868746,0.15748629760116445,31.0084525478268,-12.528467339553018,30.073310034615652,0.15799763266529357,31.179544312613352,-12.642318695310562,0.829915442163982,2.3064251561318674,12.700839688701015
28,30.23584017804509,0.15900277893897477,31.329449743562744,-12.52612366879962,29.684090190463596,0.156430736065857,30.797308013552712,-12.696485171242365,0.8265977870850336,2.273002444720659,12.861601079096559
